entail	v. 使需要，使必须
objective	n. 目标，目的
submit	v. 提交
identify	v. 认出，识别
infect	v. 感染
burial	n. 埋葬
genius	n. 天才
submerge	v. 淹没
stereotype	n. 刻板印象，固有印象
clarify	v. 澄清，明确
conversion	n. 转变
resident	n. 居民
aspect	n. 方面
apologize	v. 道歉
decent	adj. 像样的；正派的，规矩的
fixture	n. 固定装置
institution	n. 机构
scent	n. 香味
welfare	n. 幸福；福利
subsidy	n. 补助
superficial	adj. 表面的
private	adj. 私人的
conventional	adj. 传统的
wonder	v. 想知道，好奇
tedious	adj. 冗长的
subordinate	adj. 从属的；次要的
frame	v. 制定，拟定〔计划、体制等〕
smuggle	v. 走私
reimbursement	n. 返还费用
disappear	v. 消失
inhale	v. 吸入
majority	n. 大多数
memorize	v. 熟记
cumulative	adj. 积累的
trap	v. 捕捉
lofty	adj. 高耸的；崇高的
clarity	n. 清晰，清楚
interact	v. 互动
refine	v. 提炼；改进，完善
confer	v. 授予
anonymous	adj. 匿名的
commentator	n. 评论员
keen	adj. 敏锐的；浓厚的
enforce	v. 强迫，迫使
grocery	n. 杂货店
spread	v. 传播，扩散
recruit	v. 招聘
justified	adj. 正当的
eccentric	adj. 古怪的
bridge	v. 架桥于…之上；缩小
neglect	v. 疏忽；忽视
principle	n. 道德原则；原则
stain	n. 污渍，污点
encourage	v. 鼓励
convincing	adj. 令人信服的
indiscriminately	adv. 不加选择地，不加区分地
resolute	adj. 坚定的
indicative	adj. 指示的
perish	v. 死亡
philosopher	n. 哲学家
recipe	n. 食谱；秘诀
excessive	adj. 过度的
rigor	n. 严格，严谨
deficient	adj. 不足的，缺乏的
incompetence	n. 无能
entitle	v. 使具有资格
adventurer	n. 冒险者
quicken	v. 加快
divert	v. 使转向；转移注意力
recommend	v. 推荐
incalculable	adj. 不可估量的，无法计算的
outcome	n. 结果
scaffolding	n. 脚手架
garage	n. 车库
domestic	adj. 国内的
cultivate	v. 培养
formulate	v. 制定，规划
shed	v. 洒 (热血)
worldwide	adv. 世界范围地，全世界
fuss	n. 小题大做
contention	n. 争论
hijack	v. 劫持
dweller	n. 居住者
buck	v. 反对 n. 美元
view	v. 看待
pronoun	n. 代词
contribution	n. 贡献
undecided	adj. 不确定的
restrict	v. 限制
reverse	adj. 相反的
grasp	v. 理解；抓住
provoke	v. 激怒
texture	n. 质地
publicity	n. 宣传
format	n. 形式
indifferent	adj. 冷漠的
incentive	n. 刺激
prejudice	n. 偏见
assumption	n. 假设
habitual	adj. 习惯的
