persevere	v. 坚持，不屈不挠
shrill	adj. 尖声的 v. 尖声地叫
bridge	v. 架桥于，用桥连接
rate	n. 价格 v. 对…评定
hypothesis	n. 假设；前提
sham	n. 假冒；膺品 v. 假装
fake	n. 假货，膺品 adj. 假的
presume	v. 假定，假设，揣测
beetle	n. 甲虫
clamp	v. 夹住，夹紧 n. 夹子
sandwich	v. 夹入，挤进
homely	adj. 家常的
fowl	n. 家禽；禽肉
poultry	n. 家禽
heater	n. 加热器
deepen	vt. （使色泽等）加浓
heighten	v. 加高，提高；增加
line	v. 加衬里于
stillness	n. 寂静，无声
lodging	n. 寄宿，住宿；住所
successor	n. 继承人，继任者
succession	n. 继承（权）
quarterly	adj&adv. 季度的（地）
craft	n. 技巧
souvenir	n. 纪念品
documentary	adj. 纪录的；文献的
marginal	adj. 边缘的；记在页边的
terminal	n. 计算机终端；线接头
scheme	v. 计划，搞阴谋
geometrical	adj. 几何学的
bazaar	n. 集市，廉价商店
gathering	n. 集会，聚会，聚集
set	n. 集（合）
disorder	n. 疾病，小病
complaint	n. 疾病，病痛
forthcoming	adj. 即将到来的；现成的
polarity	n. （人、意见或观念的）截然相反，截然对立；极性
extreme	n. 极端不同的性质
guitar	n. 吉他，六弦琴
timely	adj. 及时的；适时的
irritate	v. 激怒；引起不愉快
drastic	adj. 激烈的；严厉的
severe	adj. 艰难的；简朴的
Christian	adj. 基督教的
elemental	adj. 基本的；自然力的
radical	adj. 基本的；激进的
ultimate	adj. 首要的；基本的
energetic	adj. 积极的；精力旺盛的
muscular	adj. 肌肉发达的，强健的
witty	adj. 机智的；风趣的
mechanism	n. 机械装置；机制
tact	n. 机敏，圆滑，得体
ingenious	adj. 精巧制成的；机灵的
ingenuity	n. 机灵；设计新颖
framework	n. 体制
fence	n. 击剑（术），击剑
stall	n. 货摊，书摊；马厩
fellowship	n. 伙伴关系；联谊会
Mars	n. 火星
ham	n. 火腿
piston	n. 活塞
vigour	n. 活力，精力；元气
cloudy	adj. 混浊的；模糊不清的
mixer	n. 搅拌器
engagement	n. 婚约；约会
bribe	n. 贿赂 v. 向…行贿
corrupt	v. 使腐化 adj. 腐败的
response	n. 回应
badge	n. 徽章，像章；标志
wield	v. 挥（剑）；行使
locust	n. 蝗虫
wasp	n. 黄蜂
royalty	n. 皇家，王族，皇族
desolate	adj. 荒芜的；孤独的
illusion	n. 幻想；错觉；假象
modification	n. 修改
environmental	adj. 环境的，环境产生的
pregnant	adj. 怀孕的；意义深长的；意义深长的
fossil	n. 化石
glider	n. 滑翔机；滑翔导弹
pulley	n. 滑轮，滑车，皮带轮
slide	n. 滑动，滑行
granite	adj. 花岗岩，花岗石
correlate	n. 互相关联的事物
walnut	n. 核桃；胡桃树
arc	n. 弧，弓形物；弧光
exclamation	n. 呼喊，惊叫；感叹
outcome	n. 后果，成果
ruby	n. 红宝石
hit	n. 轰动一时的人（或事）
traverse	v. 横越
transverse	adj. 横的
bed	n. 河床，（湖）底
harmonious	adj. 和谐的，协调的
monk	n. 和尚，僧侣，修道士
cooperative	adj. 合作的 n. 合作社
hinge	n. 合页，折叶，铰链
proper	adj. 合乎体统的，正派的
composite	adj. 合成的 n. 合成物
synthesis	n. 综合，综合物；（化学或生物学物质的）合成；（用电子方式对声音、语音或音乐的）合成
