thoughtless	adj. 欠考虑的；自私的
denounce	v. 谴责，声讨；告发
pious	adj. 虔诚的；虔奉宗教的
lobby	n. 前厅，（剧院的）门廊
consistent	adj. 前后一致的，连贯的
predecessor	n. 前辈，前任者
visa	n. 签证
modesty	n. 谦逊；端庄
gracious	adj. 谦和的
migrate	v. 迁移，移居
kilowatt	n. 千瓦（特）
pertinent	adj. 恰当的；有关的
apt	adj. 恰当的；聪明的
utensil	n. 器皿，用具
maple	n. 槭树，枫树
follower	n. 信徒，追随者
siren	n. 汽笛，警报器
motel	n. 汽车游客旅馆
garage	n. 汽车修理站
motorway	n. 汽车道，快车路
hitherto	adv. 迄今，到目前为止
barometer	n. 气压计，睛雨表
pant	v. 气喘
jack	n. 起重器；传动装置
scratch	n. （某人皮肤上的）划痕，划伤
count	n. 起拆理由，罪状
message	n. 启示，要旨，教训
enlighten	v. 启发，开导；启蒙
implore	v. 乞求，恳求，哀求
knight	n. 骑士，武士；爵士
marvel	n. 奇迹；惊奇 v. 惊奇
subsequently	adv. 其后，其次，接着
cheat	n. 欺诈；骗取
periodical	n. 期刊，杂志
currently	adv. 当前
universally	adv. 普遍地，一般地
bushel	n. 蒲式耳（容量单位）
raisin	n. 葡萄干
fracture	n. 破裂；裂痕 v. 破裂
destructive	adj. 破坏（性）的，危害的
bankrupt	adj. 破产的 v. 使破产
persecute	v. 迫害，残害
incline	n. 坡度
flask	n. 瓶
tack	n. 平头钉 v. 钉住
terrace	n. 平台，阳台，露台
civilian	n. 平民 adj. 平民的
tranquil	adj. 平静的；稳定的
equation	n. 平衡；反应式
equilibrium	n. 平衡，均衡；均衡论
commonplace	adj. 平凡的 n. 平常话
frequency	n. 频繁，屡次；频率
barren	adj. 贫瘠的；不孕的
float	n. 漂浮物；浮标，木筏
bleach	v. 漂白，变白
flake	n. 片，薄片
deflection	n. 偏斜，歪斜；偏差
prejudice	n. 偏见，成见；损害
adjacent	adj. 毗连的；紧接着的
cape	n. 披肩，斗篷；海角
clash	n. 冲突，抵触；碰撞声
collide	v. 碰撞；冲突，抵触
ingredient	n. 配料，成分
shell	n. 炮弹，猎枪子弹
battery	n. 炮组，排炮
foam	n. 泡沫塑料；泡沫
bypass	n. 旁通管 v. 绕过
limp	v. 蹒跚，跛行 n. 跛行
stagger	v. 蹒跚，使摇晃
ascend	v. 攀登，登高
dispatch	v. 派遣；调度 n. 急件
faction	n. 派别，宗派，小集团
hover	v. 徘徊；傍徨；翱翔；盘旋
drainage	n. 排水；下水道
range	v. 排列
clap	n. 拍手喝采声；霹雳声
reptile	n. 爬行动物
overhear	v. 偶然听到；偷听
ohm	n. 欧姆
hostess	n. 女主人；旅馆女老板
feminine	adj. 女性的；女子气的
waitress	n. 女侍者，女服务员
goddess	n. 女神
blouse	n. 女衬衫；罩衫
coward	adj. 懦怯的，胆小的
radiator	n. 暖气片；散热器
strive	v. 努力，奋斗，力求
mess	v. 弄脏，弄乱，搞糟
distortion	n. 歪曲；畸变
shorten	v. 弄短，缩小，减少
Saturn	n. 土星
milky	adj. 牛奶的；乳白色的
wrench	v. 拧，扭伤 n. 拧
wring	v. 拧，挤，扭，榨
peer	v. 凝视
nickel	n. 镍；镍币
junior	n. 年少者；晚辈
annually	adv. 年年，每年
practicable	adj. 能实行的；适用的
capability	n. 能力，才能
