shatter	vi. 碎裂 vt. 使粉碎，砸碎；使破灭；使震惊
plea	n. 恳求， 请求； 抗辩， 答辩， 辩护； 借口， 托辞
persuasion	n. 说服， 劝说； 信念， 信仰
keen	adj. 热心的； 激烈的； 敏锐的， 敏捷的
nutrition	n. 营养
detective	n. 侦探， 私人侦探
transfer	v. 搬， 转移； 调动， 转学； 转让， 过户； 乘车， 转乘
veteran	adj. 经验丰富的 n. 老手；老兵
cereal	n. 加工而成的谷类食物； 谷类植物， 谷物
esthetic	adj. 美学的， 审美的； 悦目的， 雅致的
indifferent	adj. 冷漠的， 不积极的； 一般的， 平平的
affection	n. 感情； 爱， 爱慕
diversion	n. 转移， 转向； 消遣， 娱乐； 临时绕行路
elementary	adj. 基本的， 初级的
eagle	n. 鹰
solemn	adj. 庄严的， 隆重的； 严肃的
embarrass	vt. 使窘迫， 使为难
erroneous	adj. 错误的， 不正确的
option	n. 选择， 选择权， 选择自由； 选择的事物， 选课
acute	adj. 严重的； 急性的； 灵敏的， 敏锐的； 精明的
limitation	n. 限制， 限度； 局限
jog	n&v. 慢跑； 轻轻碰撞
terrify	vt. 使害怕， 使惊吓
handbook	n. 手册， 便览
ascertain	vt. 弄清， 查明； 确定
crucial	adj. 至关重要的， 决定性的
contribute	v. 捐献， 捐款； 投稿
insert	vt. 插入， 嵌入； 登载
faith	n. 信任， 信心； 信仰， 信条
inspiration	n. 灵感； 鼓舞人心的人
endurance	n. 忍耐力； 持久， 耐久
highlight	vt. 强调，突出，使显著 n. 最精彩的部分， 最重要的事件
candidate	n. 候选人， 投考者， 申请求职者
strive	vi. 努力， 奋斗， 力求
database	n. 数据库
intelligible	adj. 可理解的， 明白易懂的， 清楚的
parallel	adj. 并列的，平行的；类似的；对应的；并联的 n. 可相比拟的事物，相似处；平行线，平行面；纬线 vt. 与…相似， 与… 相当， 比得上
reject	vt. 拒绝； 拒纳， 退回， 摈弃 n. 被拒货品， 不合格产品
hospitality	n. 友好款待， 好客
sheer	adv. 垂直地，陡峭地 vi. 急转向， 偏离 adj. 完全的，十足的；陡峭的，垂直的；极薄的，透明的
imitation	n. 模仿； 仿制， 伪制品； 赝品
compliment	n. 赞美，恭维；致意，问候 vt. 赞美， 恭维
blunder	vi. 跌跌撞撞地走， 慌乱地走； 犯错误 n. 错误
breach	n. 破坏，违反；破裂，不和；缺口，裂口 vt. 攻破， 在…造成缺口； 破坏， 违反
original	adj. 最初的；新颖的；原版的 n. 原件， 原作
comply	vi. 遵从， 依从， 服从
deviate	vi. 背离， 偏离
assignment	n. 任务； 指定的作业； 分配， 指派
album	n. 粘贴簿， 集邮簿， 相册
stimulus	n. 促进； 刺激
electric	adj. 电的， 电动的
bewilder	vt. 使迷惑； 使难住
regiment	n. 团；大量 vt. 严格地管制， 严密地编组
diminish	vi. 变少，变小，降低 vt. 减少， 减小， 降低
surpass	vt. 超过， 优于， 多于； 超过…的界限， 非…所能办到
various	adj. 各种各样的， 不同的
depression	n. 抑郁， 沮丧； 不景气， 萧条； 洼地， 凹陷
affiliate	vt. 使隶属于 n. 附属机构， 分公司
unfold	v. 展开， 打开； 显露， 展现
extent	n. 广度； 范围； 程度
equivalent	adj. 相等的，等量的 n. 相等物， 等价物
sensational	adj. 轰动的， 耸人听闻的； 使人感动的， 非常好的
wedge	n. 楔 vt. 楔入， 塞入
alienate	vt. 使疏远， 使不友好， 离间； 转让， 让渡
brink	n. 边缘， 边沿
plague	n. 瘟疫，鼠疫；灾难，祸患 vt. 使痛苦， 给…造成困难
perpetual	adj. 永久的， 永恒的， 长期的； 无休止的， 没完没了的
retrospect	n. 回顾
fascinate	vt. 强烈地吸引， 迷住
colonial	adj. 殖民地的
warfare	n. 战争； 斗争， 冲突
draft	n. 草稿；汇票；征兵；通风 vt. 起草； 征募
complex	adj. 由许多部分组成的，复合的；复杂的，难懂的 n. 综合体， 集合体； 情结， 夸大的情绪反应
assumption	n. 假定， 臆断； 担任， 承担
humidity	n. 湿度， 潮湿， 湿气
rank	vi. 列入， 占特定等级 n. 军衔，职衔；地位，社会阶层；排，行列 vt. 把…分等，给…评定等级
pamphlet	n. 小册子
preparatory	adj. 预备的
neglect	n&vt. 忽视， 忽略； 疏忽
addition	n. 加， 加法； 附加物
vein	n. 静脉， 血管； 叶脉； 纹理， 纹路； 方式， 风格
carve	vt. 切， 把…切碎； 雕刻， 刻
veil	n. 面纱，面罩；遮盖物，掩饰物 vt. 掩盖， 掩饰
shrink	vi. 起皱； 收缩； 退缩， 畏缩
hierarchy	n. 等级制度； 统治集团， 领导层
ancestor	n. 祖宗， 祖先； 原型； 先驱
hazardous	adj. 危险的； 冒险的
locality	n. 地区， 地点
proceeding	n. 诉讼
artery	n. 动脉； 干线， 要道
panic	v. 恐慌， 惊慌失措 n. 恐慌，惊慌，慌乱
underestimate	vt. 对…估计不足，低估 n. 估计不足， 低估
fold	vt. 折叠，合拢 n. 褶， 折叠的部分
transient	adj. 短暂的， 转瞬即逝的； 临时的， 暂住的
hurl	vt. 猛投， 狠掷； 大声叫骂
competitive	adj. 竞争的， 比赛的； 好竞争的， 求胜心切的； 有竞争力的
dean	n. 教长， 主任牧师； 学院院长， 系主任， 训导主任
sponge	v. 用湿海绵擦， 揩； 过寄生生活 n. 海绵
abuse	vt. 滥用； 虐待； 辱骂， 毁谤 n. 滥用； 虐待； 辱骂
scheme	v. 密谋， 策划 n. 计划，方案；阴谋
