strategy	n. 策略
literacy	n. 识字， 有文化
apathy	n. 冷漠
boom	n. 繁荣
oblige	v. 迫使
incompatibility	n. 不兼容
commerce	n. 商业
attribute	v. 归因于
cafeteria	n. 自助餐厅
cripple	n. 残疾，跛子
shuttle	n. 航天飞机
nightmare	n. 噩梦
startle	v. 使惊讶
debris	n. 残骸，碎片
assemble	v. 收集，组装
perception	n. 看法；意识
coastal	adj. 海滨的
desert	v. 放弃，抛弃
peer	n. 同龄人
embody	v. 体现
sympathetic	adj. 同情的
backup	n. 后补，援助
notably	adv. 显著地，尤其
exploit	v. 开发，开采
poetry	n. 诗歌
discriminate	v. 歧视；区别
readjust	v. 重新调整，再调整
slight	adj. 轻微的
strip	n. 狭长的一块
tackle	v. 解决，处理
steady	adj. 稳定的
minority	n. 少数，少数民族
aspirational	adj. 渴望成功的的
discipline	n. 训练，管教
threshold	n. 门槛
soar	v. 高飞
uneven	adj. 不均衡的
crucial	adj. 关键的
athletics	n. 体育运动
needy	adj. 贫穷的
enthusiastic	adj. 热情的
trigger	v. 引发，引起
essential	adj. 必须的；本质的
agenda	n. 议程
owe	v. 欠钱
justice	n. 公平
donor	n. 捐赠者
convict	v. 证明……有罪
underestimate	v. 低估
flat	adj. 平的 n. 公寓
confidential	adj. 机密的
unexpected	adj. 意想不到的
vitamin	n. 维他命
jeopardize	v. 危害，危及
disproportionately	adv. 比例不均地，不成比例地
bacteria	n. 细菌
achieve	v. 达到，实现
bump	v. 颠簸
existence	n. 存在；生存
sweep	v. 扫除，清除
shrewd	adj. 精明的
illuminate	v. 阐释，阐明
realm	n. 领域，方面
blueprint	n. 蓝图，设计图
pension	n. 养老金
administration	n. 管理；政府
track	v. 追踪 n. 轨迹，踪迹
ponder	v. 仔细考虑
paradise	n. 天堂
ethnic	adj. 种族的
accelerate	v. 加速
bitter	adj. 痛苦的
ambition	n. 野心，报复
confess	v. 承认
extent	n. 程度
accountant	n. 会计
sheer	adj. 纯粹的
deliberate	adj. 故意的
pave	v. 铺路
measure	n. 措施
potentially	adv. 潜在地
remove	v. 消除，移除；更新
allergic	adj. 过敏的
available	adj. 可获得的，可利用的
initial	adj. 初步的，最初的
consensus	n. 共识，一致
opponent	n. 反对者
modify	v. 改变
signify	v. 表明，象征
accumulate	v. 积累
mining	n. 采矿业
violent	adj. 暴力的
adversity	n. 逆境
dynamics	n. 动力学
chaos	n. 混乱
persistent	adj. 持续的；坚持不懈的
ritual	n. 仪式
criteria	n. 标准
impose	v. 强加于
untiring	adj. 不知疲倦的
