clue	n. 线索
arrogant	adj. 傲慢无礼的
elevate	v. 提升；举起
expansion	n. 扩张；扩大
authority	n. 权威；当局
publicize	v. 宣传
reflective	adj. 反映的，反射的；深思熟虑的
quantity	n. 数量
acutely	adv. 强烈地
isolate	v. 使隔离
vigorous	adj. 积极的；精力充沛的
counsel	v. 建议，忠告
vivid	adj. 生动的
hostility	n. 敌意
collaborate	v. 合作
consultation	n. 商议
transition	n. 过渡
deteriorate	v. 恶化
pasture	n. 牧场
eyewitness	n. 目击者
trait	n. 特点
anticipate	v. 期望，预期
numerous	adj. 无数的
combination	n. 组合，结合
slightly	adv. 轻微地
dividend	n. 分红，红利
minimal	adj. 最低的，最小限度的
derail	v. 脱轨
barrier	n. 障碍，阻碍
ingenuity	n. 创造力
bribe	v. 贿赂
guesstimate	n. 大概估计，瞎猜估计
negotiation	n. 协商
hardship	n. 艰难
badge	n. 标记, 徽章
compromise	v. 妥协
excess	n. 过量，过度
descendant	n. 子孙后代
fulfill	v. 实现
collective	adj. 共同的
amend	v. 修订
tangled	adj. 纠缠的；复杂的
qualification	n. 资格
recall	v. 回忆起，想起
adopt	v. 采纳
tasteless	adj. 没有味道的
drown	v. 溺水
tragedy	n. 悲剧
circulation	n. 发行量
grand	adj. 壮丽的，极好的
inadequate	adj. 不足的
household	n. 家庭，一家人
authorization	n. 授权
auxiliary	adj. 辅助的
adverse	adj. 不利的
descriptive	adj. 描写的，描述的
trace	v. 追踪
bloom	v. 开花，茂盛
evaluate	v. 评价
humanistic	adj. 人文的
cozy	adj. 舒适的
plough	n. 犁
melt	v. 融化
lest	conj. 以免
ready	adj. 乐意的，愿意的
formidable	adj. 可怕的；令人敬畏的，令人惊叹的
feasible	adj. 可行的
regarding	prep. 关于
needle	n. 指针；针
dimension	n. 尺寸；维
specialize	v. 专业从事
overturn	v. 推翻
shrank	v. 收缩(shrink过去式)
adversely	adv. 不利地
check	v. 检查；阻止
testimony	n. 证词
rigorous	adj. 严格的
privileged	adj. 有特权的
expectation	n. 期望
bias	n. 偏见
lawsuit	n. 诉讼
eloquent	adj. 口才好的，雄辩的
shrink	v. 缩减，缩小
regulation	n. 规则；管理
alternative	n. 代替品
moist	adj. 潮湿的
surpass	v. 超过
fabric	n. 布料
distinction	n. 区分
eradicate	v. 根除
brilliant	adj. 才华横溢的；极好的
redefine	v. 重新定义
arm	v. 装备，武装
intensely	adv. 强烈地
desperate	adj. 绝望的，不顾一切的
sexism	n. 性别歧视
bruise	v. 使碰伤，擦伤
prominent	adj. 卓越的；突出的
comprehensive	adj. 综合的，全面的
forecast	n. 预报，预测
