psychiatrist	n. 精神科医生， 精神病专家
squad	n. 班， 小队， 小组
disrupt	vt. 使中断； 扰乱
scar	v. 留下伤痕 n. 伤疤，伤痕；创伤
sergeant	n. 中士， 警官
vital	adj. 生死攸关的， 极其重要的； 生命的， 有生命力的
eccentric	adj. 古怪的，怪癖的，异乎寻常的 n. 古怪的人， 怪癖的人
conflict	vi. 冲突， 抵触 n. 冲突， 抵触； 争论； 战斗， 战争
appliance	n. 用具， 器具， 器械
alloy	n. 合金 vt. 将…铸成合金
delusion	n. 欺骗； 哄骗
mass	adj. 大量的，大规模的 v. 聚集， 集中 n. 众多，大量；团，块，堆；群众；质量
detect	vt. 察觉， 发觉； 侦查出
update	vt. 更新；使现代化 n. 最新信息
renaissance	n. 文艺复兴， 文艺复兴时期； 复兴， 再生
poisonous	adj. 有毒的； 恶毒的
condemn	vt. 谴责， 指责； 判…刑， 宣告…有罪
assistance	n. 协助， 援助
auction	n&vt. 拍卖
propel	vt. 推进， 推动； 激励， 驱使
admit	vi. 承认 vt. 承认，供认；准许…进入
uneven	adj. 不平坦的， 不平滑的； 不一致的， 不相等的
definition	n. 定义， 释义， 定界； 清晰， 鲜明
mansion	n. 大厦， 宅邸
mask	n. 面具，面罩，口罩；伪装 vt. 遮盖， 掩饰
patrol	v. 巡逻，巡查 n. 巡逻， 巡查； 巡逻兵， 巡逻队
nickel	n. 镍； 五分镍币， 五分钱
patron	n. 资助人， 赞助人； 老主顾， 顾客
entail	vt. 使承担； 使成为必要， 需要
inferior	adj. 下等的，劣等的 n. 下级， 下属
apply	vi. 应用，实施，使用；适用；申请，请求 vt. 涂， 敷， 施
propaganda	n. 宣传
overlook	vt. 忽视； 宽恕； 俯瞰
refuge	n. 庇护所， 避难处； 庇护
dramatic	adj. 引人注目的， 激动人心的； 戏剧的
incredible	adj. 不能相信的， 不可信的， 难以置信的； 惊人的
certainty	n. 必然的事， 确定的事实； 确信， 确实
corrode	v. 腐蚀， 侵蚀
spine	n. 脊柱， 脊椎； 刺， 刺毛； 书脊
commend	vt. 称赞， 表扬； 推荐
parasite	n. 寄生生物； 寄生虫
artificial	adj. 人工的， 人为的； 矫揉造作的； 模拟的
deficiency	n. 缺乏， 不足； 缺点， 缺陷
imaginary	adj. 想象中的， 假想的
formula	n. 公式， 式； 原则， 方案； 配方
disgust	n&vt. 厌恶， 憎恶
transcend	vt. 超出， 超越范围
tribute	n. 颂词， 称赞， 礼物； 贡品
mob	n. 暴民，乌合之众 vt. 成群围住， 聚众袭击
subordinate	adj. 下级的，级别低的；次要的，从属的 n. 部属， 下级 vt. 使处于次要地位， 使从属于
trend	vi. 伸向，倾向 n. 倾向
achievement	n. 完成； 成就， 成绩
sturdy	adj. 强壮的， 结实的， 坚固的； 坚定的， 坚强的
desirable	adj. 吸引人的， 可取的
consist	vi. 由…组成； 在于； 一致
reliable	adj. 可靠的， 可依赖的
compatible	adj. 兼容的； 能和睦相处的， 合得来的
incentive	n. 刺激， 鼓励
critic	n. 批评家， 爱挑剔的人
preliminary	adj. 预备的，初步的 n. 初步做法， 起始行为
obstacle	n. 障碍， 障碍物； 妨害
profession	n. 职业； 公开表示
van	n. 大篷车， 运货车
dizzy	adj. 头晕目眩的，眩晕的；头晕的 vt. 令人发晕
resemblance	n. 相似， 形似
exceptional	adj. 优越的， 杰出的； 例外的， 独特的， 异常的
constitute	vt. 组成， 形成； 设立； 任命
cherish	vt. 珍爱， 珍视； 爱护， 抚育； 抱有， 怀有
discrepancy	n. 不符合， 不一致
spectrum	n. 谱， 光谱， 频谱； 范围， 幅度， 系列
convince	vt. 使确信， 使信服， 说服
prolong	vt. 延长， 拉长， 拖延
missionary	n. 传教士
terminate	v. 停止， 终止
valve	n. 阀， 活门； 瓣膜， 活瓣
refund	n. 退款 vt. 退还
remnant	n. 残留部分
internal	adj. 内的， 国内的； 内心的
literary	adj. 文学的； 文人的， 书卷气的
classical	adj. 古典的， 经典的
privilege	n. 特权； 优惠
substitute	n. 代替人，代用品 vt. 用…代替
mortgage	n. 抵押，抵押借款 vt. 抵押
blaze	vi. 熊熊燃烧，着火；发光，放光彩；迸发，爆发 n. 火焰， 烈火； 光辉， 强烈的光； 迸发， 爆发； 灿烂， 炫耀
moreover	adv. 而且， 再者， 此外
scatter	vt. 撒， 散播； 使散开， 驱散
violate	vt. 违反， 违背； 亵渎； 侵犯， 妨碍
federal	adj. 联邦的， 联盟的
verify	vt. 证实， 查证， 证明
excursion	n. 远足， 短途旅行
inaugurate	vt. 开始， 开展； 为…举行就职典礼； 为…举行开幕式， 为…举行落成仪式
undergo	vt. 经历； 经受， 忍受
reward	n. 报答，奖赏；报酬，酬金 vt. 报答， 酬谢， 奖励
graze	vi. 吃青草 vt. 放牧；擦伤；擦过，掠过 n. 擦破
coupon	n. 礼券， 优惠券； 配给券， 票证
multitude	n. 大量， 许多； 大众， 民众
inhabit	vt. 居住于， 栖居于
siege	n. 包围， 围困
abstract	adj. 抽象的，抽象派的 n. 摘要，梗概；抽象派艺术作品
agenda	n. 议程
