quote	v. 引用
pragmatic	adj. 务实的，讲求实际的
alleviate	v. 减轻，缓解
underlying	adj. 潜在的，基础的
generate	v. 产生
dysfunction	n. 失常
invasive	adj. 入侵的
ignore	v. 忽视
specific	adj. 具体的
elegant	adj. 高雅的，雅致的
capital	adj. 资金的，资本的
indicate	v. 表明
eligible	adj. 适合的；胜任的
procedure	n. 程序
unrealistic	adj. 不现实的
occur	v. 发生
aggravate	v. 加重，加剧
frankly	adv. 坦率地
thrilling	adj. 令人兴奋的
irreversible	adj. 不可逆的；不可取消的
marine	adj. 海洋的
interracial	adj. 种族间的
grave	adj. 严重的
undocumented	adj. 无证明的
appoint	v. 任命
rhetorical	adj. 修辞的
momentum	n. 动力，势头
deserve	v. 值得
drastically	adv. 激烈地，猛烈地
particle	n. 粒子，微粒
miniature	adj. 微型的
merit	v. 值得 n. 优点
category	n. 种类
liability	n. 责任；债务
hack	v. 黑客攻击
matter	v. 重要；要紧
brutal	adj. 残酷的
biodiversity	n. 生物多样性
subsequently	adv. 随后
bother	v. 困扰
subconscious	adj. 下意识的，潜意识的
genetic	adj. 基因的
recurrence	n. 再次发生
defect	n. 缺点
retailer	n. 零售商
memo	n. 备忘录
chain	n. 连锁店
executive	n. 执行官
ballet	n. 芭蕾
enrollment	n. 入学人数
propose	v. 提出
frantic	adj. 疯狂的
allegedly	adv. 据说
manipulate	v. 操纵
coverage	n. 报道
novel	adj. 新颖的
previous	adj. 之前的
neutrality	n. 中立
underscore	v. 强调
indispensable	adj. 必不可少的
puzzle	v. 迷惑
illustrate	v. 阐明，说明
sanitation	n. 卫生环境，卫生设备
defensive	adj. 防守的，防御的
perspective	n. 视角，观点
migration	n. 迁徙，移居
float	v. 漂浮
flexible	adj. 灵活的
capable	adj. 有能力的
practical	adj. 实践的；实用的
territory	n. 领域，领土
urbanization	n. 城市化
privilege	n. 特权
forthcoming	adj. 即将来临的
widen	v. 拓宽，变宽
deduction	n. 扣款
virtual	adj. 虚拟的；事实上的
boast	v. 自夸
monetary	adj. 货币的
dim	adj. 暗淡的；愚蠢的
sensible	adj. 理智的
infant	n. 婴儿
precedent	n. 先例
activate	v. 激活
accomplish	v. 实现
immigration	n. 移民
approve	v. 赞同
pessimist	n. 悲观主义者
aggressive	adj. 挑衅的
toxic	adj. 有毒的
ruling	n. 裁定
prolong	v. 延长
tension	n. 紧张
specialist	n. 专家
encounter	v. 遭遇
reap	v. 收割，收获
institute	n. 研究所，学会，学院
maintenance	n. 维修
legend	n. 传奇
groundless	adj. 无理由的，无根据的
